shuffle_id,network,n_regions,CRRP_Allocation,CRRP_Flexibility,CRRP_Residual,CRRP_Contrast,CRRP_Switching
30,SalVentAttn,22,0.31488797870383495,0.0015185616188450601,3.2383242110183766e-06,4.174463988631903e-06,0.00033226117416793657
30,Limbic,12,0.4135381024644613,0.0021174820553625994,4.394024434456722e-06,4.786487976816294e-06,0.00041581567652746544
30,Cont,30,0.35760640558701706,0.0027020769661676215,5.786802851088569e-06,4.978641689169544e-06,0.00048736802604889954
30,Default,46,0.35441181334498284,0.002292083158051332,4.900213188871856e-06,5.60666229880853e-06,0.0004752611321624599
31,Vis,29,0.48541876703169184,0.004760958773670165,5.842007815592438e-06,6.461867041120052e-06,0.000573930863038526
31,SomMot,35,0.40296566554292634,0.002181332531314945,3.958021763702483e-06,4.108242381539469e-06,0.00036656454314495544
31,DorsAttn,26,0.42387744397993266,0.00304814486911977,4.969118843730605e-06,5.012194844473704e-06,0.00045701209546852205
31,SalVentAttn,22,0.44144336429647135,0.002810495243520492,4.64947628825534e-06,4.514859503512165e-06,0.0004135883583576349
31,Limbic,12,0.4179702075304457,0.0018573845951382316,5.0356899055167494e-06,5.394320604748803e-06,0.00047469519349749436
31,Cont,30,0.470042633358451,0.002817276642164774,4.7777795647457805e-06,5.005624222194015e-06,0.0004461816089790476
31,Default,46,0.4945023292866438,0.004140056585786473,5.344008706460444e-06,6.151947294439032e-06,0.0005292014312354786
32,Vis,29,0.5171641426936795,0.0038797945977597182,5.5259405631096744e-06,6.235129501533925e-06,0.0005358697925938384
32,SomMot,35,0.37429235504532316,0.0015381778990391766,3.2402808333752046e-06,3.785929385695015e-06,0.0003142353494286087
32,DorsAttn,26,0.39660393095953644,0.0026473429348106395,4.667870900573844e-06,4.448756329087642e-06,0.0004163520491958095
32,SalVentAttn,22,0.40599838680716527,0.0015172497586062443,3.455148292978044e-06,4.712980865812764e-06,0.0003701607227506736
32,Limbic,12,0.4094457840301102,0.0029128786720400684,3.994967049655769e-06,4.7144553811251595e-06,0.00039055434402175763
